;;;;;;;;;;
;Obligationsrente;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;År;Uge;Kort rente;Lang rente;Kort euro rente;;;;;
;;8;0,72;3,96;0,79;;;;;
;;7;0,73;3,98;0,83;;;;;
;;6;0,76;3,92;0,73;;;;;
;;5;0,74;3,99;0,92;;;;;
;;4;1,57;3,88;0,67;;;;;
;;3;0,68;4,06;0,82;;;;;
;;2;0,69;4,04;0,65;;;;;
;2012;1;0,73;4,10;1,03;;;;;
;;52;0,84;4,14;1,03;;;;;
;;51;1,00;4,19;0,97;;;;;
;;50;1,08;4,26;1,01;;;;;
;;49;1,11;4,30;1,04;;;;;
;;48;1,20;4,30;1,30;;;;;
;;47;1,18;4,28;0,91;;;;;
;;46;1,19;4,31;1,23;;;;;
;;45;1,31;4,35;1,29;;;;;
;;44;1,32;4,38;1,04;;;;;
;;43;1,23;4,36;1,01;;;;;
;;42;1,17;4,34;1,12;;;;;
;;41;0,96;4,26;0,74;;;;;
;;40;1,18;4,27;1,13;;;;;
;;39;1,03;4,24;1,48;;;;;
;;38;1,06;4,33;1,32;;;;;
;;37;1,12;4,35;1,27;;;;;
;;36;1,30;4,46;1,51;;;;;
;;35;1,30;4,40;1,32;;;;;
;;34;1,27;4,56;1,45;;;;;
;;33;1,24;4,85;1,45;;;;;
;;32;1,43;5,04;1,57;;;;;
;;31;1,56;5,03;1,78;;;;;
;;30;1,63;5,06;1,77;;;;;
;;29;1,60;5,09;1,61;;;;;
;;28;1,75;5,16;1,76;;;;;
;;27;1,67;5,11;1,68;;;;;
;;26;1,71;5,12;1,88;;;;;
;;25;1,68;5,08;1,72;;;;;
;;24;1,69;5,08;1,95;;;;;
;;23;1,62;5,07;1,75;;;;;
;;22;1,67;5,09;1,76;;;;;
;;21;1,74;5,14;1,94;;;;;
;;20;1,65;5,11;1,82;;;;;
;;19;1,91;5,22;1,77;;;;;
;;18;1,72;5,19;1,99;;;;;
;;17;1,77;5,23;1,92;;;;;
;;16;2,04;5,26;1,84;;;;;
;;15;1,98;5,06;1,78;;;;;
;;14;1,56;5,13;1,84;;;;;
;;13;1,6;5,14;1,83;;;;;
;;12;1,72;5,03;1,81;;;;;
;;11;1,61;5,17;1,73;;;;;
;;10;1,54;4,94;1,64;;;;;
;;9;1,51;5,09;1,6;;;;;
;;8;1,46;5,14;1,58;;;;;
;;7;1,5;4,94;1,46;;;;;
;;6;1,46;4,73;1,57;;;;;
;;5;1,25;4,62;1,99;;;;;
;;4;1,05;4,59;2,09;;;;;
;;3;1,59;4,57;1,73;;;;;
;;2;1,14;4,57;2,03;;;;;
;2011;1;1,32;4,60;1,36;;;;;
;;52;1,41;4,68;1,55;;;;;
;;51;1,56;4,80;1,46;;;;;
;;50;1,54;4,61;1,44;;;;;
;;49;1,59;4,53;1,35;;;;;
;;48;1,33;4,43;1,42;;;;;
;;47;1,44;4,37;1,41;;;;;
;;46;1,22;4,30;1,55;;;;;
;;45;1,47;4,29;1,49;;;;;
;;44;1,32;4,31;1,51;;;;;
;;43;1,44;4,26;1,29;;;;;
;;42;1,31;4,19;1,18;;;;;
;;41;1,47;4,18;1,28;;;;;
;;40;1,12;4,20;1,24;;;;;
;;39;1,36;4,24;1,14;;;;;
;;38;1,37;4,24;0,87;;;;;
;;37;1,24;4,18;1,09;;;;;
;;36;1,24;4,13;1,34;;;;;
;;35;1,24;4,12;1,23;;;;;
;;34;1,29;4,18;1,23;;;;;
;;33;1,37;4,25;1,41;;;;;
;;32;1,43;4,34;1,28;;;;;
;;31;1,45;4,39;1,2;;;;;
;;30;0,95;4,35;1,27;;;;;
;;29;0,95;4,35;1,35;;;;;
;;28;1,05;4,32;1,2;;;;;
;;27;1,07;4,32;1,25;;;;;
;;26;1;4,37;1,19;;;;;
;;25;0,93;4,38;1,13;;;;;
;;24;0,79;4,31;1,11;;;;;
;;23;0,87;4,31;1,16;;;;;
;;22;0,92;4,36;1,12;;;;;
;;21;0,99;4,46;1,23;;;;;
;;20;1,13;4,53;1,22;;;;;
;;19;1,17;4,55;1,16;;;;;
;;18;1,19;4,63;1,19;;;;;
;;17;1,22;4,68;1,26;;;;;
